Process, Parameter, Value
MEASUREMENT, START, 2024-01-24 20:45:33.431116+00
MEASUREMENT, SCRIPT, /tmp/benchmark/main.sh
MEASUREMENT, BASEDIR, /tmp/benchmark
MEASUREMENT, CWD, /tmp/benchmark
MEASUREMENT, INPUT, 250000
MEASUREMENT, PID, 10975
SP2B, START, 2024-01-24 20:45:33.440710+00
SP2B, DIR, /tmp/benchmark/sp2b/bin
SP2B, TRIPLES, 250128
SP2B, FILESIZE, 26673KB
SP2B, END, 2024-01-24 20:45:33.965930+00
SP2B, EXECTIME, d:h:m:s.ms | 0:0:0:0.525
RDF2RAPSQL, RAPSQLMODEL, yars
RDF2RAPSQL, START, 2024-01-24 20:45:33.977047+00
RDF2RAPSQL, INSTANCE, /tmp/benchmark/data/sp250k1yp/sp250k1yp.n3
RDF2RAPSQL, PID, 11033
RDF2PG, START, 2024-01-24 20:45:33.982463+00
RDF2PG, END, 2024-01-24 20:45:36.394607+00
RDF2PG, EXECTIME, d:h:m:s.ms | 0:0:0:2.412
EDGEPARTITIONING, START, 2024-01-24 20:45:36.541719+00
EDGEPARTITIONING, END, 2024-01-24 20:45:36.728839+00
EDGEPARTITIONING, EXECTIME, d:h:m:s.ms | 0:0:0:0.187
DBIMPORT-NODES, START, 2024-01-24 20:45:36.733968+00
DBIMPORT-NODES, END, 2024-01-24 20:45:37.740912+00
DBIMPORT-NODES, EXECTIME, d:h:m:s.ms | 0:0:0:1.6
DBIMPORT-EDGES, START, 2024-01-24 20:45:37.746219+00
DBIMPORT-EDGES, END, 2024-01-24 20:45:39.101707+00
DBIMPORT-EDGES, EXECTIME, d:h:m:s.ms | 0:0:0:1.355
RDF2RAPSQL, END, 2024-01-24 20:45:39.107335+00
RDF2RAPSQL, EXECTIME, d:h:m:s.ms | 0:0:0:5.130
WRITECYPHER, START, 2024-01-24 20:45:39.114795+00
WRITECYPHER, END, 2024-01-24 20:45:39.994748+00
WRITECYPHER, EXECTIME, d:h:m:s.ms | 0:0:0:0.879
RAPSQLTRIPLES-CNT, START, 2024-01-24 20:45:45.003802+00
RAPSQLTRIPLES-CNT, END, 2024-01-24 20:45:45.557272+00
RAPSQLTRIPLES-CNT, EXECTIME, d:h:m:s.ms | 0:0:0:0.553
RUNQUERIES, START, 2024-01-24 20:45:50.566297+00
QUERY-EXEC | loop-1 | a1-q1, START, 2024-01-24 20:45:53.576378+00
QUERY-EXEC | loop-1 | a1-q1, END, 2024-01-24 20:45:54.587981+00
QUERY-EXEC | loop-1 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:0:1.11
QUERY-EXEC | loop-1 | b2-q2, START, 2024-01-24 20:45:57.595537+00
QUERY-EXEC | loop-1 | b2-q2, END, 2024-01-24 20:51:19.553111+00
QUERY-EXEC | loop-1 | b2-q2, EXECTIME, d:h:m:s.ms | 0:0:5:21.957
QUERY-EXEC | loop-1 | c3-q3a, START, 2024-01-24 20:51:22.560688+00
QUERY-EXEC | loop-1 | c3-q3a, END, 2024-01-24 20:51:25.480094+00
QUERY-EXEC | loop-1 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:0:2.919
QUERY-EXEC | loop-1 | d4-q3b, START, 2024-01-24 20:51:28.487782+00
QUERY-EXEC | loop-1 | d4-q3b, END, 2024-01-24 20:51:31.306266+00
QUERY-EXEC | loop-1 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:0:2.818
QUERY-EXEC | loop-1 | e5-q3c, START, 2024-01-24 20:51:34.313849+00
QUERY-EXEC | loop-1 | e5-q3c, END, 2024-01-24 20:51:37.128997+00
QUERY-EXEC | loop-1 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:0:2.815
QUERY-EXEC | loop-1 | f6-q4, START, 2024-01-24 20:51:40.136710+00
QUERY-EXEC | loop-1 | f6-q4, END, 2024-01-24 21:21:40.193663+00
QUERY-EXEC | loop-1 | f6-q4, EXECTIME, d:h:m:s.ms | 0:0:30:0.56
QUERY-EXEC | loop-1 | g7-q5a, START, 2024-01-24 21:21:43.201299+00
QUERY-EXEC | loop-1 | g7-q5a, END, 2024-01-24 21:51:43.263328+00
QUERY-EXEC | loop-1 | g7-q5a, EXECTIME, d:h:m:s.ms | 0:0:30:0.62
QUERY-EXEC | loop-1 | h8-q5b, START, 2024-01-24 21:51:46.270876+00
QUERY-EXEC | loop-1 | h8-q5b, END, 2024-01-24 22:17:08.919203+00
QUERY-EXEC | loop-1 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:25:22.648
QUERY-EXEC | loop-1 | i9-q6, START, 2024-01-24 22:17:11.926700+00
QUERY-EXEC | loop-1 | i9-q6, END, 2024-01-24 22:47:28.281990+00
QUERY-EXEC | loop-1 | i9-q6, EXECTIME, d:h:m:s.ms | 0:0:30:16.355
QUERY-EXEC | loop-1 | j10-q7, START, 2024-01-24 22:47:31.289610+00
QUERY-EXEC | loop-1 | j10-q7, END, 2024-01-24 23:17:31.648765+00
QUERY-EXEC | loop-1 | j10-q7, EXECTIME, d:h:m:s.ms | 0:0:30:0.359
QUERY-EXEC | loop-1 | k11-q8, START, 2024-01-24 23:17:34.656425+00
QUERY-EXEC | loop-1 | k11-q8, END, 2024-01-24 23:17:35.121895+00
QUERY-EXEC | loop-1 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:0:0.465
QUERY-EXEC | loop-1 | l12-q9, START, 2024-01-24 23:17:38.129548+00
QUERY-EXEC | loop-1 | l12-q9, END, 2024-01-24 23:17:39.328265+00
QUERY-EXEC | loop-1 | l12-q9, EXECTIME, d:h:m:s.ms | 0:0:0:1.198
QUERY-EXEC | loop-1 | m13-q10, START, 2024-01-24 23:17:42.335955+00
QUERY-EXEC | loop-1 | m13-q10, END, 2024-01-24 23:17:42.874942+00
QUERY-EXEC | loop-1 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:0:0.538
QUERY-EXEC | loop-1 | n14-q11, START, 2024-01-24 23:17:45.882598+00
QUERY-EXEC | loop-1 | n14-q11, END, 2024-01-24 23:17:46.019616+00
QUERY-EXEC | loop-1 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:0:0.137
QUERY-EXEC | loop-1 | o15-q12a, START, 2024-01-24 23:17:49.027174+00
QUERY-EXEC | loop-1 | o15-q12a, END, 2024-01-24 23:39:50.884694+00
QUERY-EXEC | loop-1 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:22:1.857
QUERY-EXEC | loop-1 | p16-q12b, START, 2024-01-24 23:39:53.892391+00
QUERY-EXEC | loop-1 | p16-q12b, END, 2024-01-24 23:39:54.264428+00
QUERY-EXEC | loop-1 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:0:0.372
QUERY-EXEC | loop-1 | q17-q12c, START, 2024-01-24 23:39:57.272033+00
QUERY-EXEC | loop-1 | q17-q12c, END, 2024-01-24 23:39:57.346063+00
QUERY-EXEC | loop-1 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:0.74
QUERY-PENALTY | loop-1 | i9-q6.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | g7-q5a.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | f6-q4.sql, PENALTY-TIME, 3600000.000 ms
QUERY-PENALTY | loop-1 | j10-q7.sql, PENALTY-TIME, 3600000.000 ms
RUNQUERIES, END, 2024-01-24 23:39:57.401242+00
RUNQUERIES, EXECTIME, d:h:m:s.ms | 0:2:54:6.834
CALCPERFORMANCE, START, 2024-01-24 23:39:57.408736+00
CALCPERFORMANCE, END, 2024-01-24 23:39:57.423347+00
CALCPERFORMANCE, EXECTIME, d:h:m:s.ms | 0:0:0:0.14
MEASUREMENT, END, 2024-01-24 23:39:57.430803+00
MEASUREMENT, EXECTIME, d:h:m:s.ms | 0:2:54:23.999
