Process, Parameter, Value
MEASUREMENT, START, 2024-01-24 23:39:03.458667+00
MEASUREMENT, SCRIPT, /tmp/benchmark/main.sh
MEASUREMENT, BASEDIR, /tmp/benchmark
MEASUREMENT, CWD, /tmp/benchmark
MEASUREMENT, INPUT, 250000
MEASUREMENT, PID, 11040
SP2B, START, 2024-01-24 23:39:03.468259+00
SP2B, DIR, /tmp/benchmark/sp2b/bin
SP2B, TRIPLES, 250128
SP2B, FILESIZE, 26673KB
SP2B, END, 2024-01-24 23:39:03.991780+00
SP2B, EXECTIME, d:h:m:s.ms | 0:0:0:0.523
RDF2RAPSQL, RAPSQLMODEL, rdfid
RDF2RAPSQL, START, 2024-01-24 23:39:04.002703+00
RDF2RAPSQL, INSTANCE, /tmp/benchmark/data/sp250k5rp/sp250k5rp.n3
RDF2RAPSQL, PID, 11098
RDF2PG, START, 2024-01-24 23:39:04.008094+00
RDF2PG, END, 2024-01-24 23:39:06.424654+00
RDF2PG, EXECTIME, d:h:m:s.ms | 0:0:0:2.416
EDGEPARTITIONING, START, 2024-01-24 23:39:06.552963+00
EDGEPARTITIONING, END, 2024-01-24 23:39:06.739701+00
EDGEPARTITIONING, EXECTIME, d:h:m:s.ms | 0:0:0:0.186
DBIMPORT-NODES, START, 2024-01-24 23:39:06.744750+00
DBIMPORT-NODES, END, 2024-01-24 23:39:07.731886+00
DBIMPORT-NODES, EXECTIME, d:h:m:s.ms | 0:0:0:0.987
DBIMPORT-EDGES, START, 2024-01-24 23:39:07.737123+00
DBIMPORT-EDGES, END, 2024-01-24 23:39:09.683860+00
DBIMPORT-EDGES, EXECTIME, d:h:m:s.ms | 0:0:0:1.946
RDF2RAPSQL, END, 2024-01-24 23:39:09.689494+00
RDF2RAPSQL, EXECTIME, d:h:m:s.ms | 0:0:0:5.686
WRITECYPHER, START, 2024-01-24 23:39:09.697068+00
WRITECYPHER, END, 2024-01-24 23:39:10.589056+00
WRITECYPHER, EXECTIME, d:h:m:s.ms | 0:0:0:0.891
RAPSQLTRIPLES-CNT, START, 2024-01-24 23:39:15.598042+00
RAPSQLTRIPLES-CNT, END, 2024-01-24 23:39:16.152780+00
RAPSQLTRIPLES-CNT, EXECTIME, d:h:m:s.ms | 0:0:0:0.554
RUNQUERIES, START, 2024-01-24 23:39:21.161551+00
QUERY-EXEC | loop-1 | a1-q1, START, 2024-01-24 23:39:24.171548+00
