Process, Parameter, Value
MEASUREMENT, START, 2024-01-24 23:39:18.396489+00
MEASUREMENT, SCRIPT, /tmp/benchmark/main.sh
MEASUREMENT, BASEDIR, /tmp/benchmark
MEASUREMENT, CWD, /tmp/benchmark
MEASUREMENT, INPUT, 250000
MEASUREMENT, PID, 11739
SP2B, START, 2024-01-24 23:39:18.406022+00
SP2B, DIR, /tmp/benchmark/sp2b/bin
SP2B, TRIPLES, 250128
SP2B, FILESIZE, 26673KB
SP2B, END, 2024-01-24 23:39:18.927613+00
SP2B, EXECTIME, d:h:m:s.ms | 0:0:0:0.521
RDF2RAPSQL, RAPSQLMODEL, rdfid
RDF2RAPSQL, START, 2024-01-24 23:39:18.938632+00
RDF2RAPSQL, INSTANCE, /tmp/benchmark/data/sp250k6r1/sp250k6r1.n3
RDF2RAPSQL, PID, 11797
RDF2PG, START, 2024-01-24 23:39:18.943982+00
RDF2PG, END, 2024-01-24 23:39:21.182639+00
RDF2PG, EXECTIME, d:h:m:s.ms | 0:0:0:2.238
EDGEPARTITIONING, START, 2024-01-24 23:39:21.317427+00
EDGEPARTITIONING, END, 2024-01-24 23:39:21.501800+00
EDGEPARTITIONING, EXECTIME, d:h:m:s.ms | 0:0:0:0.184
DBIMPORT-NODES, START, 2024-01-24 23:39:21.506866+00
DBIMPORT-NODES, END, 2024-01-24 23:39:22.180992+00
DBIMPORT-NODES, EXECTIME, d:h:m:s.ms | 0:0:0:0.674
DBIMPORT-EDGES, START, 2024-01-24 23:39:22.186133+00
DBIMPORT-EDGES, END, 2024-01-24 23:39:23.112921+00
DBIMPORT-EDGES, EXECTIME, d:h:m:s.ms | 0:0:0:0.926
RDF2RAPSQL, END, 2024-01-24 23:39:23.118410+00
RDF2RAPSQL, EXECTIME, d:h:m:s.ms | 0:0:0:4.179
WRITECYPHER, START, 2024-01-24 23:39:23.125965+00
WRITECYPHER, END, 2024-01-24 23:39:23.978195+00
WRITECYPHER, EXECTIME, d:h:m:s.ms | 0:0:0:0.852
RAPSQLTRIPLES-CNT, START, 2024-01-24 23:39:28.987197+00
RAPSQLTRIPLES-CNT, END, 2024-01-24 23:39:29.541828+00
RAPSQLTRIPLES-CNT, EXECTIME, d:h:m:s.ms | 0:0:0:0.554
RUNQUERIES, START, 2024-01-24 23:39:34.550627+00
QUERY-EXEC | loop-1 | a1-q1, START, 2024-01-24 23:39:37.560072+00
QUERY-EXEC | loop-1 | a1-q1, END, 2024-01-24 23:39:38.561379+00
QUERY-EXEC | loop-1 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:0:1.1
QUERY-EXEC | loop-1 | b2-q2, START, 2024-01-24 23:39:41.568525+00
QUERY-EXEC | loop-1 | b2-q2, END, 2024-01-24 23:44:31.784376+00
QUERY-EXEC | loop-1 | b2-q2, EXECTIME, d:h:m:s.ms | 0:0:4:50.215
QUERY-EXEC | loop-1 | c3-q3a, START, 2024-01-24 23:44:34.791521+00
QUERY-EXEC | loop-1 | c3-q3a, END, 2024-01-24 23:44:37.385920+00
QUERY-EXEC | loop-1 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:0:2.594
QUERY-EXEC | loop-1 | d4-q3b, START, 2024-01-24 23:44:40.393042+00
QUERY-EXEC | loop-1 | d4-q3b, END, 2024-01-24 23:44:42.889097+00
QUERY-EXEC | loop-1 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:0:2.496
