Process, Parameter, Value
MEASUREMENT, START, 2024-01-24 12:27:16.159522+00
MEASUREMENT, SCRIPT, /tmp/benchmark/main.sh
MEASUREMENT, BASEDIR, /tmp/benchmark
MEASUREMENT, CWD, /tmp/benchmark
MEASUREMENT, INPUT, 50000
MEASUREMENT, PID, 13225
SP2B, START, 2024-01-24 12:27:16.169282+00
SP2B, DIR, /tmp/benchmark/sp2b/bin
SP2B, TRIPLES, 50168
SP2B, FILESIZE, 5225KB
SP2B, END, 2024-01-24 12:27:16.312528+00
RDF2RAPSQL, RAPSQLMODEL, yars
RDF2RAPSQL, START, 2024-01-24 12:27:16.322437+00
RDF2RAPSQL, INSTANCE, /tmp/benchmark/data/sp50k4y3/sp50k4y3.n3
RDF2RAPSQL, PID, 13281
RDF2PG, START, 2024-01-24 12:27:16.327948+00
RDF2PG, END, 2024-01-24 12:27:17.350420+00
RDF2PG, EXECTIME, d:h:m:s.ms | 0:0:0:1.22
EDGEPARTITIONING, START, 2024-01-24 12:27:17.499769+00
EDGEPARTITIONING, END, 2024-01-24 12:27:17.641504+00
EDGEPARTITIONING, EXECTIME, d:h:m:s.ms | 0:0:0:0.141
DBIMPORT-NODES, START, 2024-01-24 12:27:17.646659+00
DBIMPORT-NODES, END, 2024-01-24 12:27:17.835846+00
DBIMPORT-NODES, EXECTIME, d:h:m:s.ms | 0:0:0:0.189
DBIMPORT-EDGES, START, 2024-01-24 12:27:17.841107+00
DBIMPORT-EDGES, END, 2024-01-24 12:27:18.506352+00
DBIMPORT-EDGES, EXECTIME, d:h:m:s.ms | 0:0:0:0.665
RDF2RAPSQL, END, 2024-01-24 12:27:18.512066+00
RDF2RAPSQL, EXECTIME, d:h:m:s.ms | 0:0:0:2.189
WRITECYPHER, START, 2024-01-24 12:27:18.519710+00
WRITECYPHER, END, 2024-01-24 12:27:19.406229+00
WRITECYPHER, EXECTIME, d:h:m:s.ms | 0:0:0:0.886
RAPSQLTRIPLES-CNT, START, 2024-01-24 12:27:24.415262+00
RAPSQLTRIPLES-CNT, END, 2024-01-24 12:27:24.867427+00
RAPSQLTRIPLES-CNT, EXECTIME, d:h:m:s.ms | 0:0:0:0.452
RUNQUERIES, START, 2024-01-24 12:27:29.876430+00
QUERY-EXEC | loop-1 | a1-q1, START, 2024-01-24 12:27:32.886485+00
QUERY-EXEC | loop-1 | a1-q1, END, 2024-01-24 12:27:32.956668+00
QUERY-EXEC | loop-1 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:0:0.70
QUERY-EXEC | loop-1 | b2-q2, START, 2024-01-24 12:27:35.964065+00
QUERY-EXEC | loop-1 | b2-q2, END, 2024-01-24 12:27:37.278203+00
QUERY-EXEC | loop-1 | b2-q2, EXECTIME, d:h:m:s.ms | 0:0:0:1.314
QUERY-EXEC | loop-1 | c3-q3a, START, 2024-01-24 12:27:40.285757+00
QUERY-EXEC | loop-1 | c3-q3a, END, 2024-01-24 12:27:41.626130+00
QUERY-EXEC | loop-1 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:0:1.340
QUERY-EXEC | loop-1 | d4-q3b, START, 2024-01-24 12:27:44.633709+00
QUERY-EXEC | loop-1 | d4-q3b, END, 2024-01-24 12:27:45.952073+00
QUERY-EXEC | loop-1 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:0:1.318
QUERY-EXEC | loop-1 | e5-q3c, START, 2024-01-24 12:27:48.959599+00
QUERY-EXEC | loop-1 | e5-q3c, END, 2024-01-24 12:27:50.274454+00
QUERY-EXEC | loop-1 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:0:1.314
QUERY-EXEC | loop-1 | f6-q4, START, 2024-01-24 12:27:53.282013+00
QUERY-EXEC | loop-1 | f6-q4, END, 2024-01-24 12:29:14.556154+00
QUERY-EXEC | loop-1 | f6-q4, EXECTIME, d:h:m:s.ms | 0:0:1:21.274
QUERY-EXEC | loop-1 | g7-q5a, START, 2024-01-24 12:29:17.563720+00
QUERY-EXEC | loop-1 | g7-q5a, END, 2024-01-24 12:31:27.263429+00
QUERY-EXEC | loop-1 | g7-q5a, EXECTIME, d:h:m:s.ms | 0:0:2:9.699
QUERY-EXEC | loop-1 | h8-q5b, START, 2024-01-24 12:31:30.271021+00
QUERY-EXEC | loop-1 | h8-q5b, END, 2024-01-24 12:31:40.810963+00
QUERY-EXEC | loop-1 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:0:10.539
QUERY-EXEC | loop-1 | i9-q6, START, 2024-01-24 12:31:43.818565+00
QUERY-EXEC | loop-1 | i9-q6, END, 2024-01-24 12:32:25.764236+00
QUERY-EXEC | loop-1 | i9-q6, EXECTIME, d:h:m:s.ms | 0:0:0:41.945
QUERY-EXEC | loop-1 | j10-q7, START, 2024-01-24 12:32:28.771943+00
QUERY-EXEC | loop-1 | j10-q7, END, 2024-01-24 12:32:36.185606+00
QUERY-EXEC | loop-1 | j10-q7, EXECTIME, d:h:m:s.ms | 0:0:0:7.413
QUERY-EXEC | loop-1 | k11-q8, START, 2024-01-24 12:32:39.193239+00
QUERY-EXEC | loop-1 | k11-q8, END, 2024-01-24 12:32:39.361412+00
QUERY-EXEC | loop-1 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:0:0.168
QUERY-EXEC | loop-1 | l12-q9, START, 2024-01-24 12:32:42.368877+00
QUERY-EXEC | loop-1 | l12-q9, END, 2024-01-24 12:32:42.586476+00
QUERY-EXEC | loop-1 | l12-q9, EXECTIME, d:h:m:s.ms | 0:0:0:0.217
QUERY-EXEC | loop-1 | m13-q10, START, 2024-01-24 12:32:45.593966+00
QUERY-EXEC | loop-1 | m13-q10, END, 2024-01-24 12:32:45.716760+00
QUERY-EXEC | loop-1 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:0:0.122
QUERY-EXEC | loop-1 | n14-q11, START, 2024-01-24 12:32:48.724409+00
QUERY-EXEC | loop-1 | n14-q11, END, 2024-01-24 12:32:48.795456+00
QUERY-EXEC | loop-1 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:0:0.71
QUERY-EXEC | loop-1 | o15-q12a, START, 2024-01-24 12:32:51.802863+00
QUERY-EXEC | loop-1 | o15-q12a, END, 2024-01-24 12:35:00.754280+00
QUERY-EXEC | loop-1 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:2:8.951
QUERY-EXEC | loop-1 | p16-q12b, START, 2024-01-24 12:35:03.761879+00
QUERY-EXEC | loop-1 | p16-q12b, END, 2024-01-24 12:35:03.999870+00
QUERY-EXEC | loop-1 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:0:0.237
QUERY-EXEC | loop-1 | q17-q12c, START, 2024-01-24 12:35:07.007429+00
QUERY-EXEC | loop-1 | q17-q12c, END, 2024-01-24 12:35:07.064650+00
QUERY-EXEC | loop-1 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:0.57
RUNQUERIES, END, 2024-01-24 12:35:07.113256+00
RUNQUERIES, EXECTIME, d:h:m:s.ms | 0:0:7:37.236
CALCPERFORMANCE, START, 2024-01-24 12:35:07.120999+00
CALCPERFORMANCE, END, 2024-01-24 12:35:07.136320+00
CALCPERFORMANCE, EXECTIME, d:h:m:s.ms | 0:0:0:0.15
MEASUREMENT, END, 2024-01-24 12:35:07.143827+00
MEASUREMENT, EXECTIME, d:h:m:s.ms | 0:0:7:50.984
