Process, Parameter, Value
MEASUREMENT, START, 2024-01-26 15:16:52.402003+00
MEASUREMENT, SCRIPT, /tmp/benchmark/main.sh
MEASUREMENT, BASEDIR, /tmp/benchmark
MEASUREMENT, CWD, /tmp/benchmark
MEASUREMENT, INPUT, 250000
MEASUREMENT, PID, 10996
SP2B, START, 2024-01-26 15:16:52.411577+00
SP2B, DIR, /tmp/benchmark/sp2b/bin
SP2B, TRIPLES, 250128
SP2B, FILESIZE, 26673KB
SP2B, END, 2024-01-26 15:16:52.935536+00
SP2B, EXECTIME, d:h:m:s.ms | 0:0:0:0.523
RDF2RAPSQL, RAPSQLMODEL, yars
RDF2RAPSQL, START, 2024-01-26 15:16:52.946465+00
RDF2RAPSQL, INSTANCE, /tmp/benchmark/data/sp250k22y11/sp250k22y11.n3
RDF2RAPSQL, PID, 11054
RDF2PG, START, 2024-01-26 15:16:52.951810+00
RDF2PG, END, 2024-01-26 15:16:55.265247+00
RDF2PG, EXECTIME, d:h:m:s.ms | 0:0:0:2.313
EDGEPARTITIONING, START, 2024-01-26 15:16:55.412164+00
EDGEPARTITIONING, END, 2024-01-26 15:16:55.597083+00
EDGEPARTITIONING, EXECTIME, d:h:m:s.ms | 0:0:0:0.184
DBIMPORT-NODES, START, 2024-01-26 15:16:55.602209+00
DBIMPORT-NODES, END, 2024-01-26 15:16:56.632519+00
DBIMPORT-NODES, EXECTIME, d:h:m:s.ms | 0:0:0:1.30
DBIMPORT-EDGES, START, 2024-01-26 15:16:56.637883+00
DBIMPORT-EDGES, END, 2024-01-26 15:16:57.946763+00
DBIMPORT-EDGES, EXECTIME, d:h:m:s.ms | 0:0:0:1.308
RDF2RAPSQL, END, 2024-01-26 15:16:57.952371+00
RDF2RAPSQL, EXECTIME, d:h:m:s.ms | 0:0:0:5.5
WRITECYPHER, RAPSQLTRANSPILER, cpo1
WRITECYPHER, START, 2024-01-26 15:16:57.960995+00
WRITECYPHER, END, 2024-01-26 15:16:58.840943+00
WRITECYPHER, EXECTIME, d:h:m:s.ms | 0:0:0:0.879
RAPSQLTRIPLES-CNT, START, 2024-01-26 15:17:03.850011+00
RAPSQLTRIPLES-CNT, END, 2024-01-26 15:17:04.383682+00
RAPSQLTRIPLES-CNT, EXECTIME, d:h:m:s.ms | 0:0:0:0.533
RUNQUERIES, START, 2024-01-26 15:17:09.392659+00
QUERY-EXEC | loop-1 | a1-q1, START, 2024-01-26 15:17:12.402783+00
QUERY-EXEC | loop-1 | a1-q1, END, 2024-01-26 15:17:13.395140+00
QUERY-EXEC | loop-1 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:0:0.992
QUERY-EXEC | loop-1 | b2-q2, START, 2024-01-26 15:17:16.402683+00
QUERY-EXEC | loop-1 | b2-q2, END, 2024-01-26 15:22:29.332205+00
QUERY-EXEC | loop-1 | b2-q2, EXECTIME, d:h:m:s.ms | 0:0:5:12.929
QUERY-EXEC | loop-1 | c3-q3a, START, 2024-01-26 15:22:32.339872+00
QUERY-EXEC | loop-1 | c3-q3a, END, 2024-01-26 15:22:35.190263+00
QUERY-EXEC | loop-1 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:0:2.850
QUERY-EXEC | loop-1 | d4-q3b, START, 2024-01-26 15:22:38.197865+00
QUERY-EXEC | loop-1 | d4-q3b, END, 2024-01-26 15:22:40.953012+00
QUERY-EXEC | loop-1 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:0:2.755
QUERY-EXEC | loop-1 | e5-q3c, START, 2024-01-26 15:22:43.960520+00
QUERY-EXEC | loop-1 | e5-q3c, END, 2024-01-26 15:22:46.709957+00
