Process, Parameter, Value
MEASUREMENT, START, 2024-01-26 01:11:47.733768+00
MEASUREMENT, SCRIPT, /tmp/benchmark/main.sh
MEASUREMENT, BASEDIR, /tmp/benchmark
MEASUREMENT, CWD, /tmp/benchmark
MEASUREMENT, INPUT, 250000
MEASUREMENT, PID, 10953
SP2B, START, 2024-01-26 01:11:47.743614+00
SP2B, DIR, /tmp/benchmark/sp2b/bin
SP2B, TRIPLES, 250128
SP2B, FILESIZE, 26673KB
SP2B, END, 2024-01-26 01:11:48.266956+00
SP2B, EXECTIME, d:h:m:s.ms | 0:0:0:0.523
RDF2RAPSQL, RAPSQLMODEL, rdfid
RDF2RAPSQL, START, 2024-01-26 01:11:48.278104+00
RDF2RAPSQL, INSTANCE, /tmp/benchmark/data/sp250k61r1/sp250k61r1.n3
RDF2RAPSQL, PID, 11011
RDF2PG, START, 2024-01-26 01:11:48.283589+00
RDF2PG, END, 2024-01-26 01:11:50.628842+00
RDF2PG, EXECTIME, d:h:m:s.ms | 0:0:0:2.345
EDGEPARTITIONING, START, 2024-01-26 01:11:50.792170+00
EDGEPARTITIONING, END, 2024-01-26 01:11:50.981666+00
EDGEPARTITIONING, EXECTIME, d:h:m:s.ms | 0:0:0:0.189
DBIMPORT-NODES, START, 2024-01-26 01:11:50.986785+00
DBIMPORT-NODES, END, 2024-01-26 01:11:51.860122+00
DBIMPORT-NODES, EXECTIME, d:h:m:s.ms | 0:0:0:0.873
DBIMPORT-EDGES, START, 2024-01-26 01:11:51.865488+00
DBIMPORT-EDGES, END, 2024-01-26 01:11:53.100282+00
DBIMPORT-EDGES, EXECTIME, d:h:m:s.ms | 0:0:0:1.234
RDF2RAPSQL, END, 2024-01-26 01:11:53.105975+00
RDF2RAPSQL, EXECTIME, d:h:m:s.ms | 0:0:0:4.827
WRITECYPHER, RAPSQLTRANSPILER, cpo1
WRITECYPHER, START, 2024-01-26 01:11:53.114824+00
WRITECYPHER, END, 2024-01-26 01:11:54.004246+00
WRITECYPHER, EXECTIME, d:h:m:s.ms | 0:0:0:0.889
RAPSQLTRIPLES-CNT, START, 2024-01-26 01:11:59.013751+00
RAPSQLTRIPLES-CNT, END, 2024-01-26 01:11:59.558408+00
RAPSQLTRIPLES-CNT, EXECTIME, d:h:m:s.ms | 0:0:0:0.544
RUNQUERIES, START, 2024-01-26 01:12:04.567655+00
QUERY-EXEC | loop-1 | a1-q1, START, 2024-01-26 01:12:07.577904+00
QUERY-EXEC | loop-1 | a1-q1, END, 2024-01-26 01:12:08.577818+00
QUERY-EXEC | loop-1 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:0:0.999
QUERY-EXEC | loop-1 | b2-q2, START, 2024-01-26 01:12:11.585456+00
QUERY-EXEC | loop-1 | b2-q2, END, 2024-01-26 01:17:08.280443+00
QUERY-EXEC | loop-1 | b2-q2, EXECTIME, d:h:m:s.ms | 0:0:4:56.694
QUERY-EXEC | loop-1 | c3-q3a, START, 2024-01-26 01:17:11.288157+00
QUERY-EXEC | loop-1 | c3-q3a, END, 2024-01-26 01:17:13.891004+00
QUERY-EXEC | loop-1 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:0:2.602
QUERY-EXEC | loop-1 | d4-q3b, START, 2024-01-26 01:17:16.898672+00
QUERY-EXEC | loop-1 | d4-q3b, END, 2024-01-26 01:17:19.438825+00
QUERY-EXEC | loop-1 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:0:2.540
