q1,q2,q3a,q3b,q3c,q4,q5a,q5b,q6,q7,q8,q9,q10,q11,q12a,q12b,q12c
63.21,3600,248.35,229.397,230.581,3600,3600,410.495,3600,3600,788.351,880.602,157.78,30.092,3600,3600,17.443
75.126,3600,249.708,230.16,230.244,3600,3600,403.28,3600,3600,766.77,905.672,158.416,30.063,3600,3600,17.438
78.026,3600,249.133,230.062,230.143,3600,3600,406.071,3600,3600,809.023,905.648,160.926,29.838,3600,3600,17.438
77.983,3600,248.797,230.133,230.369,3600,3600,402.86,3600,3600,771.933,884.822,158.306,29.933,3600,3600,17.452
77.988,3600,248.61,229.703,229.87,3600,3600,406.072,3600,3600,800.998,899.335,159.957,29.882,3600,3600,17.44
78.098,3600,249.165,230.17,230.177,3600,3600,405.612,3600,3600,761.473,888.873,155.965,34.591,3600,3600,17.42
78.819,3600,249.222,230.047,230.179,3600,3600,403.608,3600,3600,810.451,884.417,161.318,30.162,3600,3600,17.46
78.941,3600,248.663,229.943,229.972,3600,3600,402.597,3600,3600,775.209,903.624,158.565,29.71,3600,3600,17.422
75.57,3600,248.816,229.689,231.153,3600,3600,403.687,3600,3600,765.924,940.472,158.36,29.809,3600,3600,17.43
74.663,3600,248.881,230.006,229.93,3600,3600,400.171,3600,3600,769.451,940.506,161.752,29.736,3600,3600,17.441
