iteration,q1,q2,q3a,q3b,q3c,q4,q5a,q5b,q6,q7,q8,q9,q10,q11,q12a,q12b,q12c
loop-1,1,--,1722888,11867,23,--,--,2398467,--,--,510,65,656,10,1,--,1
loop-2,1,--,1722888,11867,23,--,--,2398467,--,--,510,65,656,10,1,--,1
loop-3,1,--,1722888,11867,23,--,--,2398467,--,--,510,65,656,10,1,--,1
loop-4,1,--,1722888,11867,23,--,--,2398467,--,--,510,65,656,10,1,--,1
loop-5,1,--,1722888,11867,23,--,--,2398467,--,--,510,65,656,10,1,--,1
loop-6,1,--,1722888,11867,23,--,--,2398467,--,--,510,65,656,10,1,--,1
loop-7,1,--,1722888,11867,23,--,--,2398467,--,--,510,65,656,10,1,--,1
loop-8,1,--,1722888,11867,23,--,--,2398467,--,--,510,65,656,10,--,--,1
loop-9,1,--,1722888,11867,23,--,--,2398467,--,--,510,65,656,10,--,--,1
loop-10,1,--,1722888,11867,23,--,--,2398467,--,--,510,65,656,10,--,--,1
