q1,q2,q3a,q3b,q3c,q4,q5a,q5b,q6,q7,q8,q9,q10,q11,q12a,q12b,q12c
131.3,3600,493.811,458.732,458.425,3600,3600,1250.92,3600,3600,3600,3600,303.109,71.889,710.746,1084.76,45.323
249.445,3600,496.39,459.427,458.2,3600,3600,1249.44,3600,3600,3600,3600,311.063,72.445,1503.16,1065.15,45.363
255.179,3600,494.941,458.438,458.228,3600,3600,1228.82,3600,3600,3600,3600,300.908,71.285,3600,1075.06,45.327
254.87,3600,494.537,458.424,458.571,3600,3600,1224.17,3600,3600,3600,3600,307.269,70.023,3600,1088.44,45.213
254.476,3600,495.961,458.469,458.436,3600,3600,1222.15,3600,3600,3600,3600,308.918,70.004,3600,1172.71,45.405
255.016,3600,495.443,459.354,459.585,3600,3600,1222.53,3600,3600,3600,3600,301.063,70.192,3600,1089.4,45.351
253.091,3600,495.784,458.735,458.114,3600,3600,1220.52,3600,3600,3600,3600,310.804,70.738,3600,1087.49,45.365
244.67,3600,496.104,458.117,458.911,3600,3600,1218.07,3600,3600,3600,3600,299.86,72.385,3600,1131.27,45.522
244.93,3600,495.004,460.159,460.556,3600,3600,1220.16,3600,3600,3600,3600,299.686,71.916,3600,1092.31,45.63
254.853,3600,497.127,458.305,458.321,3600,3600,1219.44,3600,3600,3600,3600,299.676,70.338,3600,1095.95,45.431
